pubchem id,common name,flavor profile
3102,Benzophenone,"{'apricot', 'rose', 'peach', 'geranium', 'balsam', 'powdery', 'metallic'}"
3314,eugenol,"{'sweet', 'cinnamon', 'clove', 'honey', 'spicy', 'woody'}"
3776,isopropanol,"{'alcohol', 'bitter', 'woody', 'musty'}"
3893,lauric acid,"{'metal', 'fatty', 'coconut', 'mild', 'bay oil'}"
4133,methyl salicylate,"{'mint', 'wintergreen', 'peppermint'}"
4788,phloretin,"{'odorless', 'bitter'}"
5054,resorcinol,"{'musty', 'creamy', 'hawthorn', 'phenolic', 'nutty'}"
5281,stearic acid,"{'mild', 'odorless', 'fatty'}"
5960,L-aspartic acid,{'odorless'}
6050,Tributyrin,"{'waxy', 'fatty', 'creamy', 'cheese', 'bitter'}"
6054,2-Phenylethanol,"{'lilac', 'rose', 'rose water', 'spice', 'bitter', 'rose flower', 'rose dried', 'floral', 'honey'}"
6072,Phlorizin,{'bitter'}
6140,L-phenylalanine,"{'odorless', 'bitter'}"
6184,Hexanal,"{'leafy', 'green', 'fat', 'fatty', 'sweaty', 'fruity', 'grass', 'tallow', 'aldehydic', 'fresh'}"
6202,Thiamine Hydrochloride,"{'sour', 'mild', 'bitter'}"
6251,D-mannitol,"{'odorless', 'sweet'}"
6354,Oxirane,{''}
6506,Triethyl Citrate,"{'wine', 'mild', 'bitter', 'odorless', 'fruity'}"
6544,Isophorone,"{'musty', 'green', 'sweet', 'camphoraceous', 'camphor', 'cooling', 'cedarwood', 'tobacco', 'fruity', 'leather', 'woody'}"
6549,Linalool,"{'citrus', 'blueberry', 'green', 'sweet', 'lemon', 'flower', 'lavender', 'bois de rose', 'floral', 'orange', 'woody'}"
6560,2-Methyl-1-propanol,"{'ether', 'solvent', 'wine', 'bitter'}"
6561,Isobutyraldehyde,"{'green', 'fresh', 'pungent', 'aldehydic', 'floral', 'malt'}"
6569,2-Butanone,"{'acetone', 'camphor', 'ether', 'fruity', 'ethereal'}"
6584,Methyl Acetate,"{'ether', 'fruity', 'bitter', 'sweet'}"
6590,Isobutyric Acid,"{'cheese', 'butter', 'strawberry', 'rancid'}"
6654,Alpha-Pinene,"{'sweet', 'fresh', 'camphor', 'earthy', 'minty', 'turpentine', 'harsh', 'pine', 'terpene', 'woody'}"
6736,3-Methylindole,"{'mothball', 'indole', 'fecal', 'very strong', 'animal', 'civet'}"
6874,Isoamyl salicylate,"{'wintergreen', 'orchid', 'tobacco', 'bitter', 'metallic', 'soapy', 'floral', 'herbal', 'woody'}"
6915,2-Ethylbutyric Acid,"{'acidic', 'caramel', 'dry', 'fruity', 'sour', 'berry', 'whiskey'}"
6943,2-Isopropylphenol,"{'phenolic', 'creosote', 'medicinal'}"
6985,"2',4'-Dimethylacetophenone","{'mimosa', 'sweet', 'minty', 'floral', 'woody'}"
6986,2-Isopropyl-5-methylcyclohexanone,"{'green', 'sweet', 'mint', 'cool', 'minty', 'peppermint', 'fresh'}"
6989,Thymol,"{'camphor', 'medicinal', 'phenolic', 'thyme', 'herbal'}"
6998,Salicylaldehyde,"{'medical', 'cinnamon', 'cooling', 'spicy', 'wintergreen'}"
7002,1-Methylnaphthalene,"{'camphor', 'naphthyl', 'chemical', 'medicinal'}"
7043,"1,2-Dimethoxybenzene","{'musty', 'sweet', 'creamy', 'phenolic', 'vanilla'}"
7047,Quinoline,"{'medical', 'musty', 'earthy', 'tobacco', 'rubber'}"
7059,6-Methylquinoline,"{'tonka', 'castoreum', 'fecal', 'tobacco', 'civet', 'leather'}"
7095,Biphenyl,"{'rose', 'geranium', 'green', 'pungent'}"
7144,2-Methoxy-4-Methylphenol,"{'medical', 'clove', 'carnation', 'medicinal', 'phenolic', 'spice', 'bitter', 'smoky', 'mesquite', 'leather', 'bacon', 'vanilla'}"
7147,1-Phenyl-1-propanol,"{'floral', 'balsam', 'sweet'}"
7148,Propiophenone,"{'lilac', 'hawthorn'}"
7150,Methyl Benzoate,"{'herb', 'almond', 'sweet', 'prune', 'lettuce', 'phenolic', 'cananga', 'floral', 'wintergreen'}"
7151,Methyl Nicotinate,"{'tobacco', 'herbal', 'warm'}"
7165,Ethyl Benzoate,"{'banana', 'balsam', 'bitter', 'anise', 'sweet', 'camomile', 'cherry', 'fruity', 'fruit', 'wintergreen', 'musty', 'celery', 'grape', 'flower', 'minty', 'dry', 'strawberry', 'berry', 'cranberry', 'plum', 'raspberry'}"
7193,Isopentyl benzoate,"{'balsamic', 'sweet', 'green', 'waxy'}"
7222,Benzothiazole,"{'cooked', 'coffee', 'rubbery', 'vegetable', 'gasoline', 'meat', 'sulfury', 'nutty', 'rubber'}"
7249,"3,4-Dimethylphenol","{'flat', 'dry'}"
7267,"2,5-Dimethylphenol","{'smoke', 'sweet', 'phenolic', 'naphthyl', 'bacon'}"
